onset	duration	movement_onset	coded_response	experiment_exp_id	item_coding	item_text	possible_responses	response_time	survey	trial_type	worker_id	junk
137.801	8.5	139.332	4.0	survey_medley	reverse	I am lazy.	66,89,71,82,77	1.531	brief	Q11	s601	False
147.279	8.5	150.373	3.0	survey_medley	forward	Setbacks don't discourage me.	66,89,71,82,77	3.094	grit	Q02	s601	False
156.486	8.5	163.011	4.0	survey_medley	forward	When I am really excited, I tend not to think of the consequences of my actions.	66,89,71,82	6.525	upps	Q36	s601	False
166.575	8.5	166.574	0.0	survey_medley	forward	Do you sometimes like doing things that are a bit frightening?	66,89	n/a	impulsive_venture	Q39	s601	False
177.485	8.5	180.316	2.0	survey_medley	forward	I am good at resisting temptation.	66,89,71,82,77	2.831	brief	Q09	s601	False
187.374	8.5	191.069	4.0	survey_medley	reverse	I do certain things that are bad for me, if they are fun.	66,89,71,82,77	3.695	brief	Q13	s601	False
196.513	8.5	199.923	4.0	survey_medley	forward	I am able to work effectively toward long-term goals.	66,89,71,82,77	3.41	brief	Q19	s601	False
206.879	8.5	211.219	4.0	survey_medley	reverse	Pleasure and fun sometimes keep me from getting work done.	66,89,71,82,77	4.34	brief	Q17	s601	False
216.563	8.5	222.101	3.0	survey_medley	forward	Others would say I make bad choices when I am extremely happy about something.	66,89,71,82	5.538	upps	Q33	s601	False
226.721	8.5	234.306	2.0	survey_medley	forward	There are only limited possibilities in my future.	66,89,71,82,77	7.585	future_time	Q30	s601	False
235.927	8.5	239.362	3.0	survey_medley	forward	I finish whatever I begin.	66,89,71,82,77	3.435	grit	Q07	s601	False
247.106	8.5	251.933	3.0	survey_medley	forward	Most of my life lies ahead of me.	66,89,71,82,77	4.827	future_time	Q25	s601	False
256.383	8.5	262.879	2.0	survey_medley	forward	People would say that I have iron self-discipline.	66,89,71,82,77	6.496	brief	Q16	s601	False
265.999	8.5	269.061	3.0	survey_medley	reverse	Sometimes I can't stop myself from doing something, even if I know it is wrong.	66,89,71,82,77	3.062	brief	Q20	s601	False
275.071	8.5	275.07	0.0	survey_medley	forward	Do you welcome new and exciting experiences and sensations even if they are a little frightening and unconventional?	66,89	n/a	impulsive_venture	Q38	s601	False
284.075	8.5	287.733	4.0	survey_medley	forward	I expect that I will set many new goals in the future.	66,89,71,82,77	3.658	future_time	Q23	s601	False
298.384	8.5	301.015	1.0	survey_medley	reverse	I wish I had more self-discipline.	66,89,71,82,77	2.631	brief	Q15	s601	False
307.454	8.5	314.41	4.0	survey_medley	forward	When I get really happy about something, I tend to do things that can have bad consequences.	66,89,71,82	6.956	upps	Q34	s601	False
317.75	8.5	321.159	4.0	survey_medley	forward	I tend to act without thinking when I am really excited.	66,89,71,82	3.409	upps	Q37	s601	False
329.54	8.5	331.851	4.0	survey_medley	forward	My future is filled with possibilities.	66,89,71,82,77	2.311	future_time	Q24	s601	False
338.746	8.5	343.035	2.0	survey_medley	forward	As I get older, I begin to experience time as limited.	66,89,71,82,77	4.289	future_time	Q31	s601	False
348.227	8.5	352.216	2.0	survey_medley	forward	I am diligent.	66,89,71,82,77	3.989	grit	Q08	s601	False
358.184	8.5	362.197	4.0	survey_medley	forward	When overjoyed, I feel like I cant stop myself from going overboard.	66,89,71,82	4.013	upps	Q35	s601	False
370.042	8.5	374.609	2.0	survey_medley	reverse	I have been obsessed with a certain idea or project for a short time but later lost interest.	66,89,71,82,77	4.567	grit	Q03	s601	False
379.251	8.5	379.25	0.0	survey_medley	forward	Would you enjoy the sensation of skiing very fast down a high mountain slope?	66,89	n/a	impulsive_venture	Q40	s601	False
390.77	8.5	393.615	2.0	survey_medley	forward	I have the sense that time is running out.	66,89,71,82,77	2.845	future_time	Q29	s601	False
